HM,Air Seychelles,SEY,Seychelles
MI,SilkAir,SLK,Singapore
SQ,Singapore Airlines,SIA,Singapore
JP,Adria Airways,ADR,Slovenia
4Z,Airlink,LNK,South Africa
5Z,Cemair,KEM,South Africa
MN,Comair,CAW,South Africa
FA*,Safair,SFR,South Africa
SA,South African Airways,SAA,South Africa
XZ,South African Express Airways,EXY,South Africa
UX,Air Europa,AEA,Spain
YW,Air Nostrum,ANE,Spain
NT,Binter Canarias,IBB,Spain
E9,Evelop Airlines,EVE,Spain
IB,IBERIA,IBE,Spain
V7,Volotea,VOE,Spain
VY,Vueling,VLG,Spain
EB,Wamos Air,PLM,Spain
UL,SriLankan Airlines,ALK,Sri Lanka
PY,Surinam Airways,SLM,Suriname
TF,Braathens Regional Aviation,SCW,Sweden
SK,SAS,SAS,Sweden
GM,Germania Flug AG,GSW,Switzerland
PV,PrivatAir,PTI,Switzerland
LX,SWISS,SWR,Switzerland
RB,Syrianair,SYR,Syrian Arab Republic
CI,China Airlines,CAL,Taipei
BR,EVA Air,EVA,Taipei
AE,Mandarin Airlines,MDA,Taipei
B7,UNI AIR,UIA,Taipei
SZ,Somon Air,SMR,Tajikistan
PW,Precision Air,PRF,Tanzania
PG,Bangkok Airways,BKP,Thailand
TG,Thai Airways International,THA,Thailand
SL,Thai Lion Air,TLM,Thailand
BW,Caribbean Airlines,BWA,Trinidad and Tobago
BJ,Nouvelair,LBT,Tunisia
TU,Tunisair,TAR,Tunisia
KK,AtlasGlobal,KKK,Turkey
XC,Corendon Airlines,CAI,Turkey
FH,Freebird Airlines,FHY,Turkey
MB,MNG Airlines,MNB,Turkey
8Q,Onur Air,OHY,Turkey
PC,Pegasus Airlines,PGT,Turkey
XQ*,SunExpress,SXS,Turkey
TK,Turkish Airlines,THY,Turkey
PS,Ukraine International Airlines,AUI,Ukraine
G9,Air Arabia,ABY,United Arab Emirates
EK,Emirates,UAE,United Arab Emirates
EY,Etihad Airways,ETD,United Arab Emirates
FZ,flydubai,FDB,United Arab Emirates
BM,bmi Regional,BMR,United Kingdom
BA,British Airways,BAW,United Kingdom
D0,DHL Air,DHK,United Kingdom
BE,flybe,BEE,United Kingdom
VS,Virgin Atlantic,VIR,United Kingdom
AS,Alaska Airlines,ASA,United States
AA,American Airlines,AAL,United States
5Y,Atlas Air,GTI,United States
DL,Delta Air Lines,DAL,United States
FX,FedEx Express,FDX,United States
HA,Hawaiian Airlines,HAL,United States
B6,JetBlue,JBU,United States
UA,United Airlines,UAL,United States
5X,UPS Airlines,UPS,United States
HY,Uzbekistan Airways,UZB,Uzbekistan
NF,Air Vanuatu,AVN,Vanuatu
VJ,Vietjet,VJC,Vietnam
VN,Vietnam Airlines,HVN,Vietnam
